"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvulių ir paukščių rūšys","Matavimo vienetai","Reikšmė"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Lietuvos Respublika","Galvijai, iš viso","vnt.","641924"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Sostinės regionas","Galvijai, iš viso","vnt.","27428"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus apskritis","Galvijai, iš viso","vnt.","27428"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Elektrėnų sav.","Galvijai, iš viso","vnt.","1711"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Šalčininkų r. sav.","Galvijai, iš viso","vnt.","5150"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Širvintų r. sav.","Galvijai, iš viso","vnt.","4572"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Švenčionių r. sav.","Galvijai, iš viso","vnt.","2893"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Trakų r. sav.","Galvijai, iš viso","vnt.","1955"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Ukmergės r. sav.","Galvijai, iš viso","vnt.","7993"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus m. sav.","Galvijai, iš viso","vnt.","49"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus r. sav.","Galvijai, iš viso","vnt.","3105"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Galvijai, iš viso","vnt.","614496"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus apskritis","Galvijai, iš viso","vnt.","37349"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus m. sav.","Galvijai, iš viso","vnt.","4"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus r. sav.","Galvijai, iš viso","vnt.","15949"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Druskininkų sav.","Galvijai, iš viso","vnt.","1053"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Lazdijų r. sav.","Galvijai, iš viso","vnt.","16301"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Varėnos r. sav.","Galvijai, iš viso","vnt.","4042"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Kauno apskritis","Galvijai, iš viso","vnt.","68994"
"2023","Gyvulių ir paukščių skaičius metų pradžioje","Birštono sav.","Galvijai, iš viso","vnt.","551"
