"Laikotarpis","Rodiklis","Administracinė teritorija","Žemės ūkio augalai","Ūkio tipas","Matavimo vienetai","Reikšmė"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Grūdiniai augalai","Visi ūkiai","t iš 1 hektaro","3.97"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Javai","Visi ūkiai","t iš 1 hektaro","4.19"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žieminiai javai","Visi ūkiai","t iš 1 hektaro","4.74"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žieminiai kviečiai","Visi ūkiai","t iš 1 hektaro","4.97"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žieminiai kvietrugiai","Visi ūkiai","t iš 1 hektaro","3.18"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žieminiai rugiai","Visi ūkiai","t iš 1 hektaro","2.38"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žieminiai miežiai","Visi ūkiai","t iš 1 hektaro","3.98"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vasariniai javai","Visi ūkiai","t iš 1 hektaro","2.79"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vasariniai kviečiai","Visi ūkiai","t iš 1 hektaro","2.93"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vasariniai miežiai","Visi ūkiai","t iš 1 hektaro","3.40"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vasariniai kvietrugiai","Visi ūkiai","t iš 1 hektaro","2.52"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vasariniai rugiai","Visi ūkiai","t iš 1 hektaro","1.23"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Avižos","Visi ūkiai","t iš 1 hektaro","2.12"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Grikiai","Visi ūkiai","t iš 1 hektaro","0.86"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Varpinių mišiniai","Visi ūkiai","t iš 1 hektaro","2.58"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Kukurūzai","Visi ūkiai","t iš 1 hektaro","8.12"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Kiti javai","Visi ūkiai","t iš 1 hektaro","1.23"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Ankštiniai augalai","Visi ūkiai","t iš 1 hektaro","2.19"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Žirniai","Visi ūkiai","t iš 1 hektaro","2.10"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Valgomieji žirniai grūdams","Visi ūkiai","t iš 1 hektaro",
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Pašariniai žirniai grūdams","Visi ūkiai","t iš 1 hektaro",
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Pupos","Visi ūkiai","t iš 1 hektaro","2.37"
"2023","Žemės ūkio augalų derlingumas","Lietuvos Respublika","Vikiai","Visi ūkiai","t iš 1 hektaro","1.01"
